                   0, 000,          x,          x, x,          x, x
               89010, 000, 3119842419, 1567726010, 0,  426836018, 1
               89015, 000, 3119842419, 1567726010, 0,  426836018, 0
               90000, 000,  792376158, 2101836282, 0,  426836018, 0
               90007, 000,  792376158, 2101836282, 0,  426836018, 1
               90010, 000,  792376158, 2101836282, 0,  755118426, 1
               91000, 000, 1787692501, 2368009754, 0,  755118426, 1
               91010, 000, 1787692501, 2368009754, 0,  134480912, 1
               91011, 000, 1787692501, 2368009754, 0,  134480912, 0
               91019, 000, 1787692501, 2368009754, 0,  134480912, 1
               91023, 000, 1787692501, 2368009754, 0,  134480912, 0
               92000, 000, 3706716345,  461857079, 0,  134480912, 0
               92007, 000, 3706716345,  461857079, 0,  134480912, 1
               92010, 000, 3706716345,  461857079, 0,  411041841, 1
               92011, 000, 3706716345,  461857079, 0,  411041841, 0
               93000, 000, 1260861334, 1614356928, 0,  411041841, 0
               93010, 000, 1260861334, 1614356928, 0, 1075913088, 0
               93011, 000, 1260861334, 1614356928, 0, 1075913088, 1
               94000, 000,  321232678, 3678804662, 0, 1075913088, 1
               94007, 000,  321232678, 3678804662, 0, 1075913088, 0
               94010, 000,  321232678, 3678804662, 0,  319035942, 0
               95000, 000, 1050248061, 1851723740, 0,  319035942, 0
               95010, 000, 1050248061, 1851723740, 0,  773391196, 0
               95011, 000, 1050248061, 1851723740, 0,  773391196, 1
               96000, 000, 1130452870, 1006894968, 0,  773391196, 1
               96010, 000, 1130452870, 1006894968, 0,      87808, 1
               96015, 000, 1130452870, 1006894968, 0,      87808, 0
               96019, 000, 1130452870, 1006894968, 0,      87808, 1
               96031, 000, 1130452870, 1006894968, 0,      87808, 0
               97000, 000, 1062902654, 3985473755, 0,      87808, 0
               97010, 000, 1062902654, 3985473755, 0,  755531866, 0
               97011, 000, 1062902654, 3985473755, 0,  755531866, 1
               97015, 000, 1062902654, 3985473755, 0,  755531866, 0
               98000, 000, 3888363215, 1022176121, 0,  755531866, 0
               98010, 000, 3888363215, 1022176121, 0,  616637001, 0
